Depth,Actual,Predicted,RMSE
5 cm,0.337,0.27144660844719665,0.06555339155280338
15 cm,0.3265,0.2738065975247265,0.05269340247527349
75 cm,0.1725,0.16395002266695596,0.008549977333044023
